,work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size
4650,2024,MI,FT,Data Scientist,190000,US,Fully remote,US,M
4651,2024,MI,FT,Data Engineer,165000,US,Fully remote,US,M
4652,2024,MI,FT,Data Engineer,129600,US,Fully remote,US,M
4653,2024,MI,FT,Business Intelligence Analyst,200400,US,In person,US,M
4654,2024,MI,FT,Business Intelligence Analyst,126900,US,In person,US,M
4656,2024,SE,FT,Machine Learning Engineer,230000,US,Fully remote,US,M
4657,2024,SE,FT,Data Analyst,175520,US,In person,US,M
4658,2024,SE,FT,Data Analyst,103786,US,In person,US,M
4659,2024,SE,FT,Analytics Engineer,170000,US,Fully remote,US,M
4660,2024,SE,FT,Analytics Engineer,130000,US,Fully remote,US,M
4661,2024,SE,FT,Data Scientist,195000,US,In person,US,M
4662,2024,SE,FT,Data Scientist,146900,US,In person,US,M
4663,2024,MI,FT,Data Scientist,170400,US,Fully remote,US,M
4664,2024,MI,FT,Data Scientist,106500,US,Fully remote,US,M
4665,2024,MI,FT,Data Specialist,64105,GB,In person,GB,M
4666,2024,MI,FT,Data Specialist,51283,GB,In person,GB,M
4667,2024,MI,FT,Data Analyst,134500,US,In person,US,M
4668,2024,MI,FT,Data Analyst,100000,US,In person,US,M
4669,2024,MI,FT,Data Engineer,159000,US,In person,US,M
4670,2024,MI,FT,Data Engineer,111300,US,In person,US,M
4671,2024,MI,FT,Machine Learning Engineer,173400,US,In person,US,M
4672,2024,MI,FT,Machine Learning Engineer,99100,US,In person,US,M
4673,2024,SE,FT,Business Intelligence Engineer,185000,US,In person,US,L
4674,2024,SE,FT,Business Intelligence Engineer,79600,US,In person,US,L
4676,2024,EX,FT,Data Science,190500,US,Fully remote,US,M
4677,2024,MI,FT,Machine Learning Engineer,139777,ES,Fully remote,ES,M
4678,2024,MI,FT,Machine Learning Engineer,93222,ES,Fully remote,ES,M
4679,2024,SE,FT,Data Scientist,218000,US,In person,US,M
4680,2024,SE,FT,Data Scientist,145000,US,In person,US,M
4681,2024,SE,FT,Research Scientist,258100,US,In person,US,M
4682,2024,SE,FT,Research Scientist,151900,US,In person,US,M
