,work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size
3344,2024,EX,FT,Head of Machine Learning,438000,US,In person,US,M
3350,2024,SE,FT,Research Scientist,340000,US,Fully remote,US,M
3352,2024,SE,FT,Machine Learning Engineer,324000,US,In person,US,M
3370,2024,SE,FT,Machine Learning Engineer,345400,US,In person,US,M
3372,2024,SE,FT,Research Scientist,500000,US,Fully remote,US,M
3374,2024,SE,FT,Data Engineer,313000,US,Fully remote,US,M
3378,2024,SE,FT,Machine Learning Engineer,315000,US,Fully remote,US,M
3382,2024,SE,FT,Machine Learning Engineer,309000,US,In person,US,M
3462,2024,SE,FT,Research Scientist,484000,US,Fully remote,US,M
3466,2024,SE,FT,Data Scientist,720000,US,In person,US,M
3482,2024,SE,FT,Data Analytics Lead,342400,US,In person,US,M
3488,2024,SE,FT,Data Analytics Lead,398900,US,In person,US,M
3512,2024,MI,FT,Data Analyst,325000,US,In person,US,M
3537,2024,SE,FT,Data Scientist,310270,US,In person,US,M
3594,2024,SE,FT,Research Scientist,382320,US,In person,US,M
3595,2024,SE,FT,Research Scientist,302840,US,In person,US,M
3602,2024,SE,FT,Analytics Engineer,750000,US,In person,US,M
3606,2024,SE,FT,Data Scientist,314100,US,In person,US,M
3682,2024,EX,FT,Data Science,300000,US,Fully remote,US,M
3686,2024,SE,FT,Research Scientist,323300,US,In person,US,M
3692,2024,SE,FT,ML Engineer,300000,US,In person,US,M
3766,2024,SE,FT,Machine Learning Engineer,300000,US,Fully remote,US,M
3778,2024,MI,FT,Machine Learning Scientist,750000,US,In person,US,M
3782,2024,MI,FT,Research Engineer,360000,US,In person,US,M
3806,2024,SE,FT,Machine Learning Engineer,414000,US,In person,US,M
3860,2024,SE,FT,Machine Learning Engineer,307100,US,Fully remote,US,M
4002,2024,MI,FT,Research Engineer,440000,US,In person,US,M
4006,2024,SE,FT,Research Scientist,337300,US,In person,US,M
4014,2024,SE,FT,Machine Learning Engineer,386100,US,In person,US,M
4098,2024,SE,FT,Data Science,324000,US,Fully remote,US,M
4189,2024,SE,FT,Data Analyst,750000,US,In person,US,M
4199,2024,SE,FT,Machine Learning Engineer,304750,US,In person,US,M
4215,2024,SE,FT,Machine Learning Engineer,418000,US,Fully remote,US,M
4235,2024,SE,FT,Machine Learning Engineer,300000,US,In person,US,M
4266,2024,SE,FT,Analytics Engineer,329200,CA,Fully remote,CA,M
